code,industry,pred
605268,制造,3
605222,公用事业,3
605199,消费,3
605186,制造,3
605180,制造,0
605178,公用事业,3
605167,公用事业,0
605133,制造,3
605118,科技,0
605099,制造,0
605028,公用事业,0
603990,科技,0
603985,科技,0
603977,周期资源,4
603937,周期资源,4
603933,科技,0
603928,周期资源,4
603926,制造,3
603922,制造,3
603920,科技,0
603899,消费,3
603896,消费,0
603888,消费,3
603868,制造,3
603866,消费,3
603855,制造,3
603839,消费,0
603838,制造,3
603819,制造,0
603803,科技,0
603797,公用事业,3
603788,制造,0
603779,消费,0
603777,消费,0
603757,制造,3
603719,消费,0
603716,消费,0
603713,公用事业,0
603701,制造,0
603700,制造,3
603683,周期资源,4
603678,科技,0
603669,消费,0
603660,科技,0
603639,周期资源,4
603615,制造,3
603611,制造,3
603596,制造,0
603587,消费,0
603578,制造,3
603559,科技,0
603536,消费,3
603516,科技,0
603508,科技,0
603505,周期资源,4
603496,科技,4
603489,制造,0
603458,公用事业,0
603421,科技,0
603418,制造,0
603373,消费,0
603369,消费,0
603367,消费,0
603355,制造,3
603348,制造,0
603345,消费,0
603341,科技,0
603337,制造,0
603334,周期资源,4
603331,制造,0
603329,公用事业,0
603328,科技,0
603313,制造,3
603311,制造,0
603307,消费,0
603306,制造,0
603305,制造,0
603289,制造,0
603285,周期资源,4
603284,制造,0
603282,公用事业,0
603279,制造,3
603270,制造,3
603269,制造,0
603267,科技,0
603255,周期资源,4
603239,制造,0
603229,消费,0
603225,周期资源,4
603221,制造,3
603219,制造,3
603213,周期资源,4
603201,制造,3
603200,公用事业,0
603187,制造,0
603185,科技,0
603180,制造,2
603172,周期资源,3
603155,周期资源,0
603150,周期资源,0
603131,制造,0
603126,公用事业,0
603124,周期资源,4
603109,制造,0
603108,消费,0
603100,制造,0
603099,消费,3
603096,消费,0
603089,制造,0
603088,制造,0
603085,制造,0
603076,制造,3
603069,公用事业,0
603068,科技,3
603067,周期资源,4
603065,周期资源,4
603050,公用事业,0
603043,消费,0
603040,制造,0
603036,制造,3
603033,周期资源,4
603031,科技,0
603029,制造,3
603026,科技,0
603020,周期资源,4
603017,公用事业,3
603015,制造,0
603013,制造,4
603011,制造,3
603009,制造,0
603005,科技,4
603002,科技,4
601999,消费,0
601991,公用事业,3
601963,金融地产,3
601958,周期资源,0
601929,消费,0
601921,消费,3
601908,公用事业,3
601886,公用事业,0
601880,公用事业,0
601858,消费,0
601801,消费,0
601778,公用事业,0
601718,消费,0
601686,周期资源,3
601668,公用事业,0
601619,公用事业,3
601615,科技,0
601601,金融地产,3
601599,制造,3
601598,公用事业,0
601577,金融地产,3
601555,金融地产,3
601388,周期资源,0
601368,公用事业,0
601366,消费,1
601326,公用事业,0
601318,金融地产,3
601233,周期资源,0
601231,科技,0
601228,公用事业,2
601226,公用事业,3
601200,公用事业,0
601199,公用事业,3
601168,周期资源,4
601163,制造,0
601158,公用事业,2
601139,公用事业,0
601138,科技,0
601136,金融地产,3
601133,公用事业,0
601118,消费,0
601096,公用事业,3
601077,金融地产,3
601068,公用事业,0
601065,周期资源,4
601038,制造,0
601033,公用事业,3
601020,周期资源,0
