code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600019,2022,1,0.019353,0.095823,0.050737,-0.280032,0.222246,1.504347,0.456059,1.147575,0.103498,2.039908,13.044843,,,,
sh600019,2022,2,0.040529,0.100141,0.049175,-0.462174,0.467762,3.09595,0.473201,1.289322,0.079223,1.611065,15.337044,,,,
sh600019,2022,3,0.048952,0.088968,0.039487,-0.544041,0.716051,5.124318,0.458671,1.246788,0.085752,2.171662,12.445817,,,,
sh600019,2022,4,0.063217,0.05842,0.038145,-0.469707,0.947947,6.94516,0.457936,1.214609,0.121592,3.187628,11.922983,,,,
sh600019,2023,1,0.009433,0.052748,0.027752,-0.499958,0.199251,1.429988,0.445730,1.278738,-0.067724,-2.440348,10.612659,,,,
sh600019,2023,2,0.023236,0.05096,0.030791,-0.420886,0.4392,3.352414,0.427130,1.378925,0.036725,1.192717,12.747020,,,,
sh600019,2023,3,0.042478,0.061634,0.037914,-0.120003,0.65773,4.951342,0.424010,1.347790,0.051979,1.370950,19.023059,,,,
sh600019,2023,4,0.060484,0.062042,0.039887,-0.020529,0.890786,6.775873,0.414607,1.198963,0.073446,1.841373,16.561021,,,,
sh600019,2024,1,0.009581,0.051295,0.028299,0.048392,0.215108,1.611428,0.408317,1.251454,-0.037252,-1.316391,8.542578,,,,
sh600019,2024,2,0.02269,0.057289,0.032109,0.002243,0.438832,3.30603,0.004039,1.102498,0.035146,1.094579,12.862641,,,,
sh600019,2024,3,0.029458,0.052617,0.028364,-0.287556,0.653513,5.081981,0.004051,1.171101,0.064394,2.270219,7.869780,,,,
sh600019,2024,4,0.036729,0.054544,0.026598,-0.376486,0.869496,6.937716,0.003966,1.204451,0.086105,3.237285,9.602707,,,,
sh600019,2025,1,0.012059,0.072211,0.037955,0.209551,0.19889,1.600089,0.003935,1.234547,0.059757,1.574415,11.433467,,,,
sh600019,2025,2,0.024136,0.0688,0.036271,0.047425,0.411905,3.384573,0.003987,1.116068,0.109974,3.032025,14.181777,,,,
sh600019,2025,3,0.039325,0.071867,0.038323,0.29314,0.627244,5.236338,0.004065,1.029320,0.132694,3.462485,14.753391,,,,
sh600019,2025,4,0.050874,0.072392,0.035943,0.332,0.872402,7.335962,0.379675,0.989566,0.105815,2.943995,16.820019,,,,
sh600022,2019,1,0.007444,0.055134,0.011609,-0.74452,0.194773,2.483131,0.582843,0.786940,-0.069071,-5.949610,1.907716,,,,
sh600022,2019,2,0.028221,0.078585,0.0228,-0.573427,0.445517,5.568486,0.592636,0.771429,-0.006149,-0.269714,3.581605,,,,
sh600022,2019,3,0.023975,0.06759,0.014014,-0.714406,0.729229,9.049763,0.592880,0.751895,0.038014,2.712563,2.503333,,,,
sh600022,2019,4,0.028306,0.065973,0.01274,-0.61274,1.005255,12.716926,0.565833,0.685655,0.063504,4.984804,2.236728,,,,
sh600022,2020,1,0.001402,0.05558,0.008088,-0.024071,0.276057,3.654865,0.575181,0.703653,-0.034589,-4.276369,2.010204,,,,
sh600022,2020,2,0.016632,0.059599,0.016174,-0.119708,0.576538,7.955866,0.562192,0.643574,0.073116,4.520678,3.404270,,,,
sh600022,2020,3,0.028145,0.064396,0.018065,0.555251,0.922814,12.491024,0.558455,0.611336,0.065959,3.651149,3.371394,,,,
sh600022,2020,4,0.03451,0.064492,0.018091,0.744153,1.265268,16.374739,0.549562,0.594758,0.067091,3.708569,3.908997,,,,
sh600022,2021,1,0.02876,0.089699,0.036367,5.185518,0.376256,4.70477,0.565756,0.638393,0.143811,3.954478,6.439580,,,,
